sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,nominal_length,read_count,fastq_ftp,sra_ftp
SAMEA104337489,ERR2655074,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,371.0,29125346,ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/004/ERR2655074/ERR2655074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/004/ERR2655074/ERR2655074_2.fastq.gz;,
SAMN00000437,ERR008966,9606,Homo sapiens,Illumina Genome Analyzer,SINGLE,,19604752,ftp.sra.ebi.ac.uk/vol1/fastq/ERR008/ERR008966/ERR008966.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR008/ERR008966
SAMEA5233896,ERR3270036,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,378.0,27048532,ftp.sra.ebi.ac.uk/vol1/fastq/ERR327/006/ERR3270036/ERR3270036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR327/006/ERR3270036/ERR3270036_2.fastq.gz;,
SAMEA4789226,ERR2892627,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,554.0,30644572,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/007/ERR2892627/ERR2892627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/007/ERR2892627/ERR2892627_2.fastq.gz;,
SAMEA5600653,ERR3682335,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,503.0,20276548,ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3682335/ERR3682335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3682335/ERR3682335_2.fastq.gz;,
SAMN05157322,SRR3585751,7240,Drosophila simulans,Illumina HiSeq 2500,SINGLE,,28410234,ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/001/SRR3585751/SRR3585751.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR358/001/SRR3585751
SAMN08289026,SRR6443721,4932,Saccharomyces cerevisiae,Illumina HiSeq 4000,PAIRED,,18583766,ftp.sra.ebi.ac.uk/vol1/fastq/SRR644/001/SRR6443721/SRR6443721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR644/001/SRR6443721/SRR6443721_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR644/001/SRR6443721
SAMN08905579,SRR6977187,4909,Pichia kudriavzevii,Illumina HiSeq 2500,SINGLE,,16230090,ftp.sra.ebi.ac.uk/vol1/fastq/SRR697/007/SRR6977187/SRR6977187.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR697/007/SRR6977187
SAMEA1965547,ERR495466,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,238.0,36379968,ftp.sra.ebi.ac.uk/vol1/fastq/ERR495/ERR495466/ERR495466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR495/ERR495466/ERR495466_2.fastq.gz;,
SAMN09810240,SRR7694105,3635,Gossypium hirsutum,HiSeq X Ten,PAIRED,,49722231,ftp.sra.ebi.ac.uk/vol1/fastq/SRR769/005/SRR7694105/SRR7694105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR769/005/SRR7694105/SRR7694105_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR769/005/SRR7694105
SAMEA104280458,ERR2693556,28901,Salmonella enterica,HiSeq X Ten,PAIRED,459.0,10525510,ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/006/ERR2693556/ERR2693556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/006/ERR2693556/ERR2693556_2.fastq.gz;,
SAMN02868691,SRR3227876,373101,Picea engelmannii x Picea glauca,Illumina HiSeq 2000,PAIRED,,13920943,ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/006/SRR3227876/SRR3227876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/006/SRR3227876/SRR3227876_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR322/006/SRR3227876
SAMN10362773,SRR8437491,1195485,Fennellomyces heterothallicus,Illumina HiSeq 2500,PAIRED,,29975077,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437491/SRR8437491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437491/SRR8437491_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR843/001/SRR8437491
SAMEA103944414,ERR2364818,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,453.0,31185756,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/008/ERR2364818/ERR2364818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/008/ERR2364818/ERR2364818_2.fastq.gz;,
SAMEA3483589,ERR1363681,5661,Leishmania donovani,Illumina HiSeq 2500,PAIRED,509.0,11388796,ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/001/ERR1363681/ERR1363681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/001/ERR1363681/ERR1363681_2.fastq.gz;,
SAMEA4890681,ERR2899245,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,501.0,31892064,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2899245/ERR2899245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2899245/ERR2899245_2.fastq.gz;,
SAMEA3314610,ERR1045276,5855,Plasmodium vivax,Illumina HiSeq 2000,PAIRED,228.0,44612708,ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1045276/ERR1045276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1045276/ERR1045276_2.fastq.gz;,
SAMN08435400,SRR6667109,6239,Caenorhabditis elegans,Illumina HiSeq 1500,PAIRED,,23799403,ftp.sra.ebi.ac.uk/vol1/fastq/SRR666/009/SRR6667109/SRR6667109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR666/009/SRR6667109/SRR6667109_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR666/009/SRR6667109
SAMEA4852006,ERR2908380,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,421.0,24912008,ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2908380/ERR2908380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2908380/ERR2908380_2.fastq.gz;,
SAMN08567280,SRR6750142,3702,Arabidopsis thaliana,Illumina HiSeq 4000,PAIRED,,10663211,ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6750142/SRR6750142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6750142/SRR6750142_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR675/002/SRR6750142
SAMEA3542243,ERR1021770,9796,Equus caballus,Illumina HiSeq 2500,PAIRED,0.0,38913731,ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021770/ERR1021770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021770/ERR1021770_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR102/000/ERR1021770
SAMEA2707105,ERR580913,1007106,Amphilophus globosus,Illumina Genome Analyzer IIx,PAIRED,500.0,27417038,ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580913/ERR580913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580913/ERR580913_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR580/ERR580913
SAMN03351975,SRR2065243,264402,Capsella grandiflora,Illumina HiSeq 2000,PAIRED,,48745779,ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/003/SRR2065243/SRR2065243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/003/SRR2065243/SRR2065243_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR206/003/SRR2065243
SAMEA103943761,ERR2366420,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,497.0,23726568,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/000/ERR2366420/ERR2366420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/000/ERR2366420/ERR2366420_2.fastq.gz;,
SAMEA5365366,ERR3179034,1070528,viral metagenome,Illumina HiSeq 2500,PAIRED,500.0,11064964,ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/004/ERR3179034/ERR3179034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/004/ERR3179034/ERR3179034_2.fastq.gz;,
SAMEA4851852,ERR2863255,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,385.0,23267246,ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/005/ERR2863255/ERR2863255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/005/ERR2863255/ERR2863255_2.fastq.gz;,
SAMN02401441,SRR1034266,3880,Medicago truncatula,Illumina Genome Analyzer IIx,PAIRED,268.0,19539756,ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/006/SRR1034266/SRR1034266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/006/SRR1034266/SRR1034266_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR103/006/SRR1034266
SAMN09711182,SRR7592739,6669,Daphnia pulex,NextSeq 500,PAIRED,,12627207,ftp.sra.ebi.ac.uk/vol1/fastq/SRR759/009/SRR7592739/SRR7592739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR759/009/SRR7592739/SRR7592739_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR759/009/SRR7592739
SAMN13681513,SRR10813213,4577,Zea mays,Illumina HiSeq 2500,PAIRED,,11223045,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/013/SRR10813213/SRR10813213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/013/SRR10813213/SRR10813213_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR108/013/SRR10813213
SAMN09096694,SRR7194424,8839,Anas platyrhynchos,HiSeq X Ten,PAIRED,,19930579,ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7194424/SRR7194424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7194424/SRR7194424_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7194424
SAMN02339327,SRR960991,1393769,Mycobacterium tuberculosis sh101830,Illumina HiSeq 2000,PAIRED,250.0,11233489,ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960991/SRR960991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960991/SRR960991_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR960/SRR960991
SAMN03451032,SRR1945419,166423,Melipona quadrifasciata,Illumina HiSeq 2000,PAIRED,5000.0,39709438,ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945419/SRR1945419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945419/SRR1945419_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR194/009/SRR1945419
SAMN02053884,SRR831253,4513,Hordeum vulgare,Illumina HiSeq 2000,PAIRED,200.0,21260115,ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/SRR831253/SRR831253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/SRR831253/SRR831253_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR831/SRR831253
SAMN05520070,SRR4009265,9606,Homo sapiens,Illumina HiSeq 1000,PAIRED,,42226936,ftp.sra.ebi.ac.uk/vol1/fastq/SRR400/005/SRR4009265/SRR4009265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR400/005/SRR4009265/SRR4009265_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR400/005/SRR4009265
SAMEA3919647,ERR1638497,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,431.0,20611124,ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1638497/ERR1638497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1638497/ERR1638497_2.fastq.gz;,
SAMN10441515,SRR8259116,4784,Phytophthora capsici,HiSeq X Ten,PAIRED,,43852763,ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259116/SRR8259116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR825/006/SRR8259116/SRR8259116_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR825/006/SRR8259116
SAMN04044842,SRR2492599,9606,Homo sapiens,Illumina HiSeq 2000,SINGLE,,19271239,ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/009/SRR2492599/SRR2492599.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR249/009/SRR2492599
SAMN07548881,SRR6002490,4577,Zea mays,Illumina HiSeq 2000,PAIRED,,39354786,ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/000/SRR6002490/SRR6002490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/000/SRR6002490/SRR6002490_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR600/000/SRR6002490
SAMEA5058815,ERR2889730,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,530.0,27484434,ftp.sra.ebi.ac.uk/vol1/fastq/ERR288/000/ERR2889730/ERR2889730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR288/000/ERR2889730/ERR2889730_2.fastq.gz;,
SAMN00260116,SRR189093,7227,Drosophila melanogaster,Illumina Genome Analyzer IIx,PAIRED,541.0,19122603,ftp.sra.ebi.ac.uk/vol1/fastq/SRR189/SRR189093/SRR189093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR189/SRR189093/SRR189093_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR189/SRR189093
SAMN04044994,SRR2492896,9606,Homo sapiens,Illumina HiSeq 2000,SINGLE,,13564784,ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/006/SRR2492896/SRR2492896.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR249/006/SRR2492896
SAMN10776357,SRR8474768,4558,Sorghum bicolor,Illumina HiSeq 4000,PAIRED,,49121163,ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/008/SRR8474768/SRR8474768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/008/SRR8474768/SRR8474768_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR847/008/SRR8474768
SAMEA103916977,ERR2364361,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,427.0,40488188,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/001/ERR2364361/ERR2364361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/001/ERR2364361/ERR2364361_2.fastq.gz;,
SAMEA5614075,ERR3335386,379731,Pseudomonas stutzeri A1501,Illumina HiSeq 2500,PAIRED,400.0,10250680,ftp.sra.ebi.ac.uk/vol1/fastq/ERR333/006/ERR3335386/ERR3335386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR333/006/ERR3335386/ERR3335386_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR333/006/ERR3335386
SAMN09882656,SRR7766685,29881,Neurospora cerealis,Illumina HiSeq 4000,PAIRED,,10199260,ftp.sra.ebi.ac.uk/vol1/fastq/SRR776/005/SRR7766685/SRR7766685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR776/005/SRR7766685/SRR7766685_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR776/005/SRR7766685
SAMN13245564,SRR10431288,381124,Zea mays subsp. mays,HiSeq X Ten,PAIRED,,10232968,ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10431288/SRR10431288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10431288/SRR10431288_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR104/088/SRR10431288
SAMN10078290,SRR7889963,2495903,Fusarium citri,NextSeq 500,PAIRED,,23470642,ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7889963/SRR7889963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7889963/SRR7889963_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR788/003/SRR7889963
SAMN03651849,SRR2033289,7227,Drosophila melanogaster,Illumina HiSeq 2500,PAIRED,,17223572,ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/009/SRR2033289/SRR2033289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/009/SRR2033289/SRR2033289_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR203/009/SRR2033289
SAMN00998687,SRR1029812,5833,Plasmodium falciparum,Illumina HiSeq 2000,PAIRED,200.0,10461143,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/002/SRR1029812/SRR1029812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/002/SRR1029812/SRR1029812_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR102/002/SRR1029812
SAMN06197038,SRR5138795,3708,Brassica napus,Illumina HiSeq 4000,PAIRED,,20540523,ftp.sra.ebi.ac.uk/vol1/fastq/SRR513/005/SRR5138795/SRR5138795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR513/005/SRR5138795/SRR5138795_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR513/005/SRR5138795
SAMN00809607,SRR445225,39946,Oryza sativa Indica Group,Illumina Genome Analyzer II,PAIRED,,44249453,ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/SRR445225/SRR445225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/SRR445225/SRR445225_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR445/SRR445225
SAMEA1906671,ERR268350,3329,Picea abies,Illumina HiSeq 2000,PAIRED,4000.0,33213199,ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/ERR268350/ERR268350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/ERR268350/ERR268350_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR268/ERR268350
SAMEA4984610,ERR2850658,8049,Gadus morhua,Illumina HiSeq 2500,PAIRED,150.0,32636552,ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850658/ERR2850658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850658/ERR2850658_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850658
SAMEA4394579,ERR1818212,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,403.0,28260118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1818212/ERR1818212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1818212/ERR1818212_2.fastq.gz;,
SAMEA4591085,ERR3409169,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,555.0,15578252,ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3409169/ERR3409169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3409169/ERR3409169_2.fastq.gz;,
SAMEA104229133,ERR2645183,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,173.0,36453682,ftp.sra.ebi.ac.uk/vol1/fastq/ERR264/003/ERR2645183/ERR2645183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR264/003/ERR2645183/ERR2645183_2.fastq.gz;,
SAMEA3939819,ERR1391403,54126,Pristionchus pacificus,Illumina HiSeq 2000,PAIRED,400.0,16696558,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/003/ERR1391403/ERR1391403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/003/ERR1391403/ERR1391403_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR139/003/ERR1391403
SAMN07710912,SRR6118482,5507,Fusarium oxysporum,Illumina HiSeq 4000,PAIRED,,12432499,ftp.sra.ebi.ac.uk/vol1/fastq/SRR611/002/SRR6118482/SRR6118482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR611/002/SRR6118482/SRR6118482_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR611/002/SRR6118482
SAMEA5059688,ERR2752034,1640340,Hymenoscyphus koreanus,Illumina HiSeq 2500,PAIRED,350.0,26301092,ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/004/ERR2752034/ERR2752034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/004/ERR2752034/ERR2752034_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR275/004/ERR2752034
SAMN13680796,SRR10812875,4577,Zea mays,Illumina HiSeq 2500,PAIRED,,11349847,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/075/SRR10812875/SRR10812875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/075/SRR10812875/SRR10812875_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR108/075/SRR10812875
SAMN05575071,SRR4034739,1773,Mycobacterium tuberculosis,Illumina HiSeq 2000,PAIRED,,10165987,ftp.sra.ebi.ac.uk/vol1/fastq/SRR403/009/SRR4034739/SRR4034739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR403/009/SRR4034739/SRR4034739_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR403/009/SRR4034739
SAMN04606787,SRR3343433,9606,Homo sapiens,HiSeq X Ten,PAIRED,,36720283,ftp.sra.ebi.ac.uk/vol1/fastq/SRR334/003/SRR3343433/SRR3343433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR334/003/SRR3343433/SRR3343433_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR334/003/SRR3343433
SAMN12060996,SRR9307799,3988,Ricinus communis,HiSeq X Ten,PAIRED,,26654973,ftp.sra.ebi.ac.uk/vol1/fastq/SRR930/009/SRR9307799/SRR9307799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR930/009/SRR9307799/SRR9307799_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR930/009/SRR9307799
SAMEA2056521,ERR491198,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,216.0,24208296,ftp.sra.ebi.ac.uk/vol1/fastq/ERR491/ERR491198/ERR491198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR491/ERR491198/ERR491198_2.fastq.gz;,
SAMN08288308,SRR6443714,4932,Saccharomyces cerevisiae,Illumina HiSeq 4000,PAIRED,,35252546,ftp.sra.ebi.ac.uk/vol1/fastq/SRR644/004/SRR6443714/SRR6443714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR644/004/SRR6443714/SRR6443714_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR644/004/SRR6443714
SAMEA3557196,ERR1408947,4932,Saccharomyces cerevisiae,HiSeq X Ten,PAIRED,479.0,11559670,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/007/ERR1408947/ERR1408947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/007/ERR1408947/ERR1408947_2.fastq.gz;,
SAMEA1877447,ERR266470,8152,Astatotilapia,Illumina HiSeq 2000,PAIRED,250.0,29241277,ftp.sra.ebi.ac.uk/vol1/fastq/ERR266/ERR266470/ERR266470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR266/ERR266470/ERR266470_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR266/ERR266470
SAMEA2065260,ERR338329,5666,Leishmania tropica,Illumina HiSeq 2000,PAIRED,532.0,10007335,ftp.sra.ebi.ac.uk/vol1/fastq/ERR338/ERR338329/ERR338329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR338/ERR338329/ERR338329_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR338/ERR338329
SAMN13418351,SRR10569617,1849111,Homo sapiens x Cricetulus griseus hybrid cell line,Illumina HiSeq 2500,SINGLE,,43368912,ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/017/SRR10569617/SRR10569617.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR105/017/SRR10569617
SAMEA4370630,ERR1559738,1773,Mycobacterium tuberculosis,Illumina HiSeq 2000,PAIRED,410.0,14543821,ftp.sra.ebi.ac.uk/vol1/fastq/ERR155/008/ERR1559738/ERR1559738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR155/008/ERR1559738/ERR1559738_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR155/008/ERR1559738
SAMEA5045580,ERR2894542,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,441.0,24975446,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/002/ERR2894542/ERR2894542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/002/ERR2894542/ERR2894542_2.fastq.gz;,
SAMN06115381,SRR5239775,5478,[Candida] glabrata,Illumina HiSeq 2000,PAIRED,,26919562,ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/005/SRR5239775/SRR5239775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/005/SRR5239775/SRR5239775_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR523/005/SRR5239775
SAMN04498085,SRR3203374,3711,Brassica rapa,Illumina HiSeq 2000,PAIRED,,17895503,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/004/SRR3203374/SRR3203374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/004/SRR3203374/SRR3203374_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR320/004/SRR3203374
SAMN01036842,ERR3979284,9606,Homo sapiens,Illumina NovaSeq 6000,PAIRED,450.0,35653333,ftp.sra.ebi.ac.uk/vol1/fastq/ERR397/004/ERR3979284/ERR3979284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR397/004/ERR3979284/ERR3979284_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR397/004/ERR3979284
SAMEA1889189,ERR274678,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,267.0,34183326,ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/ERR274678/ERR274678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/ERR274678/ERR274678_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR274/ERR274678
