sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,read_count,fastq_ftp,sra_ftp
SAMN10808264,SRR8482285,562,Escherichia coli,Illumina MiSeq,PAIRED,846288,ftp.sra.ebi.ac.uk/vol1/fastq/SRR848/005/SRR8482285/SRR8482285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR848/005/SRR8482285/SRR8482285_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR848/005/SRR8482285
SAMEA3887566,ERR1303005,1070528,viral metagenome,Illumina HiSeq 2500,PAIRED,3854568,ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/005/ERR1303005/ERR1303005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/005/ERR1303005/ERR1303005_2.fastq.gz;,
SAMEA2146824,ERR369657,1773,Mycobacterium tuberculosis,Illumina HiSeq 2000,PAIRED,4293492,ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/ERR369657/ERR369657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/ERR369657/ERR369657_2.fastq.gz;,
SAMD00136972,DRR149765,1045010,Escherichia coli O157,Illumina MiSeq,PAIRED,1009218,ftp.sra.ebi.ac.uk/vol1/fastq/DRR149/DRR149765/DRR149765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR149/DRR149765/DRR149765_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/drr/DRR149/DRR149765
SAMEA3953341,ERR1400453,1313,Streptococcus pneumoniae,Illumina MiSeq,PAIRED,1012891,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/003/ERR1400453/ERR1400453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/003/ERR1400453/ERR1400453_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR140/003/ERR1400453
SAMN07407985,SRR5876012,363569,Salmonella enterica subsp. enterica serovar Javiana,Illumina MiSeq,PAIRED,673793,ftp.sra.ebi.ac.uk/vol1/fastq/SRR587/002/SRR5876012/SRR5876012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR587/002/SRR5876012/SRR5876012_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR587/002/SRR5876012
SAMN10518803,SRR8278174,1280,Staphylococcus aureus,Illumina HiSeq 2500,PAIRED,551290,ftp.sra.ebi.ac.uk/vol1/fastq/SRR827/004/SRR8278174/SRR8278174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR827/004/SRR8278174/SRR8278174_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR827/004/SRR8278174
SAMN06710555,SRR5444224,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Illumina MiSeq,PAIRED,1536811,ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5444224/SRR5444224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5444224/SRR5444224_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR544/004/SRR5444224
SAMN03733513,SRR2044196,6669,Daphnia pulex,Illumina HiSeq 2500,PAIRED,962963,ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/006/SRR2044196/SRR2044196.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/006/SRR2044196/SRR2044196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/006/SRR2044196/SRR2044196_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR204/006/SRR2044196
SAMN00006465,ERR1321452,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,414733,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1321452/ERR1321452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1321452/ERR1321452_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR132/002/ERR1321452
SAMEA4027338,ERR1625011,1311,Streptococcus agalactiae,Illumina HiSeq 2000,PAIRED,2861946,ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1625011/ERR1625011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1625011/ERR1625011_2.fastq.gz;,
SAMN11371272,SRR8881161,451742,Nothobranchius rachovii,HiSeq X Ten,PAIRED,11454425,ftp.sra.ebi.ac.uk/vol1/fastq/SRR888/001/SRR8881161/SRR8881161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR888/001/SRR8881161/SRR8881161_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR888/001/SRR8881161
SAMD00097530,DRR107340,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Illumina HiSeq 2500,PAIRED,18656568,ftp.sra.ebi.ac.uk/vol1/fastq/DRR107/DRR107340/DRR107340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR107/DRR107340/DRR107340_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/drr/DRR107/DRR107340
SAMN10506036,SRR8280071,98360,Salmonella enterica subsp. enterica serovar Dublin,Illumina MiSeq,PAIRED,815833,ftp.sra.ebi.ac.uk/vol1/fastq/SRR828/001/SRR8280071/SRR8280071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR828/001/SRR8280071/SRR8280071_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR828/001/SRR8280071
SAMN00006465,ERR1317376,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,429420,ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/006/ERR1317376/ERR1317376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/006/ERR1317376/ERR1317376_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR131/006/ERR1317376
SAMN07609641,SRR6008963,1496,Clostridioides difficile,Illumina HiSeq 2500,PAIRED,4900990,ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6008963/SRR6008963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6008963/SRR6008963_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR600/003/SRR6008963
SAMEA5148057,ERR2986645,197,Campylobacter jejuni,Illumina MiSeq,PAIRED,848076,ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2986645/ERR2986645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/005/ERR2986645/ERR2986645_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR298/005/ERR2986645
SAMN02209235,SRR922680,62337,Miscanthus sinensis,Illumina HiSeq 2000,SINGLE,1351950,ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/SRR922680/SRR922680.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR922/SRR922680
SAMN08797131,SRR7612176,562,Escherichia coli,Illumina MiSeq,PAIRED,1143301,ftp.sra.ebi.ac.uk/vol1/fastq/SRR761/006/SRR7612176/SRR7612176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR761/006/SRR7612176/SRR7612176_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR761/006/SRR7612176
SAMEA4521925,ERR2437028,4932,Saccharomyces cerevisiae,Illumina HiSeq 4000,PAIRED,2249076,ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/008/ERR2437028/ERR2437028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/008/ERR2437028/ERR2437028_2.fastq.gz;,
SAMN12421837,SRR9879516,197,Campylobacter jejuni,Illumina MiSeq,PAIRED,735393,ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9879516/SRR9879516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9879516/SRR9879516_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR987/006/SRR9879516
SAMN09747823,SRR7630417,287,Pseudomonas aeruginosa,Illumina HiSeq 2500,PAIRED,8746681,ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7630417/SRR7630417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7630417/SRR7630417_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR763/007/SRR7630417
SAMN12661893,SRR10042060,28901,Salmonella enterica,Illumina MiSeq,PAIRED,1034753,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/060/SRR10042060/SRR10042060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/060/SRR10042060/SRR10042060_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR100/060/SRR10042060
SAMN12523730,SRR9988783,520,Bordetella pertussis,Illumina MiSeq,PAIRED,614500,ftp.sra.ebi.ac.uk/vol1/fastq/SRR998/003/SRR9988783/SRR9988783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR998/003/SRR9988783/SRR9988783_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR998/003/SRR9988783
SAMN07682606,SRR6065554,562,Escherichia coli,HiSeq X Ten,PAIRED,5196053,ftp.sra.ebi.ac.uk/vol1/fastq/SRR606/004/SRR6065554/SRR6065554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR606/004/SRR6065554/SRR6065554_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR606/004/SRR6065554
SAMN07609913,SRR6009893,1496,Clostridioides difficile,Illumina HiSeq 2500,PAIRED,532904,ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6009893/SRR6009893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR600/003/SRR6009893/SRR6009893_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR600/003/SRR6009893
SAMN07955939,SRR6251355,158456,Betta splendens,Illumina HiSeq 4000,PAIRED,13547114,ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6251355/SRR6251355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6251355/SRR6251355_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6251355
SAMEA4938740,ERR3642314,573,Klebsiella pneumoniae,HiSeq X Ten,PAIRED,5855918,ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3642314/ERR3642314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3642314/ERR3642314_2.fastq.gz;,
SAMEA3447745,ERR1069293,599,Salmonella sp.,Illumina HiSeq 2000,PAIRED,5287426,ftp.sra.ebi.ac.uk/vol1/fastq/ERR106/003/ERR1069293/ERR1069293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR106/003/ERR1069293/ERR1069293_2.fastq.gz;,
SAMN11936846,SRR9180474,562,Escherichia coli,Illumina MiSeq,PAIRED,664120,ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/004/SRR9180474/SRR9180474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/004/SRR9180474/SRR9180474_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR918/004/SRR9180474
SAMEA2677226,ERR775464,686617,unassigned viruses,Illumina MiSeq,PAIRED,972393,ftp.sra.ebi.ac.uk/vol1/fastq/ERR775/ERR775464/ERR775464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR775/ERR775464/ERR775464_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR775/ERR775464
SAMN01886421,SRR649631,7994,Astyanax mexicanus,Illumina HiSeq 1000,SINGLE,3277807,ftp.sra.ebi.ac.uk/vol1/fastq/SRR649/SRR649631/SRR649631.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR649/SRR649631
SAMEA6544392,ERR3931574,1603886,Bifidobacterium lemurum,Illumina HiSeq 2500,PAIRED,2136414,ftp.sra.ebi.ac.uk/vol1/fastq/ERR393/004/ERR3931574/ERR3931574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR393/004/ERR3931574/ERR3931574_2.fastq.gz;,
SAMN07180131,SRR5632695,1160769,Salmonella enterica subsp. enterica serovar Worthington,Illumina MiSeq,PAIRED,673017,ftp.sra.ebi.ac.uk/vol1/fastq/SRR563/005/SRR5632695/SRR5632695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR563/005/SRR5632695/SRR5632695_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR563/005/SRR5632695
SAMN09206916,SRR7163335,9823,Sus scrofa,Illumina HiSeq 4000,SINGLE,3936872,ftp.sra.ebi.ac.uk/vol1/fastq/SRR716/005/SRR7163335/SRR7163335.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR716/005/SRR7163335
SAMN06837671,SRR5488955,28901,Salmonella enterica,Illumina MiSeq,PAIRED,1084608,ftp.sra.ebi.ac.uk/vol1/fastq/SRR548/005/SRR5488955/SRR5488955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR548/005/SRR5488955/SRR5488955_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR548/005/SRR5488955
SAMN07553454,SRR5969509,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,3245665,ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5969509/SRR5969509.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5969509
SAMEA103943278,ERR2366112,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,17098976,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/002/ERR2366112/ERR2366112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/002/ERR2366112/ERR2366112_2.fastq.gz;,
SAMN06008461,SRR5052983,102107,Prunus mume,Illumina HiSeq 2000,PAIRED,21493888,ftp.sra.ebi.ac.uk/vol1/fastq/SRR505/003/SRR5052983/SRR5052983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR505/003/SRR5052983/SRR5052983_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR505/003/SRR5052983
SAMEA5187372,ERR3303330,1313,Streptococcus pneumoniae,HiSeq X Ten,PAIRED,2365714,ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/000/ERR3303330/ERR3303330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/000/ERR3303330/ERR3303330_2.fastq.gz;,
SAMN03291646,SRR2082949,149385,Salmonella enterica subsp. enterica serovar Hadar,Illumina MiSeq,PAIRED,1098890,ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2082949/SRR2082949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2082949/SRR2082949_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR208/009/SRR2082949
SAMN09213405,SRR7170584,28901,Salmonella enterica,Illumina MiSeq,PAIRED,900982,ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/004/SRR7170584/SRR7170584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/004/SRR7170584/SRR7170584_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR717/004/SRR7170584
SAMD00045936,DRR054187,39947,Oryza sativa Japonica Group,Illumina HiSeq 2000,PAIRED,7526712,ftp.sra.ebi.ac.uk/vol1/fastq/DRR054/DRR054187/DRR054187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR054/DRR054187/DRR054187_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/drr/DRR054/DRR054187
SAMN12607006,SRR9997427,1496,Clostridioides difficile,Illumina HiSeq 4000,PAIRED,1809304,ftp.sra.ebi.ac.uk/vol1/fastq/SRR999/007/SRR9997427/SRR9997427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR999/007/SRR9997427/SRR9997427_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR999/007/SRR9997427
SAMN03566756,SRR2064931,9823,Sus scrofa,Illumina HiSeq 2000,PAIRED,4000000,ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/001/SRR2064931/SRR2064931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/001/SRR2064931/SRR2064931_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR206/001/SRR2064931
SAMN11604751,SRR9029848,562,Escherichia coli,Illumina MiSeq,PAIRED,909993,ftp.sra.ebi.ac.uk/vol1/fastq/SRR902/008/SRR9029848/SRR9029848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR902/008/SRR9029848/SRR9029848_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR902/008/SRR9029848
SAMEA2626883,ERR657036,1313,Streptococcus pneumoniae,Illumina HiSeq 2500,PAIRED,2708388,ftp.sra.ebi.ac.uk/vol1/fastq/ERR657/ERR657036/ERR657036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR657/ERR657036/ERR657036_2.fastq.gz;,
SAMN04909879,SRR3472182,4182,Sesamum indicum,Illumina HiSeq 2500,PAIRED,24095982,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/002/SRR3472182/SRR3472182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/002/SRR3472182/SRR3472182_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR347/002/SRR3472182
SAMD00181095,DRR188054,3702,Arabidopsis thaliana,NextSeq 500,PAIRED,20140915,ftp.sra.ebi.ac.uk/vol1/fastq/DRR188/DRR188054/DRR188054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR188/DRR188054/DRR188054_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/drr/DRR188/DRR188054
SAMEA3388926,ERR1191884,1313,Streptococcus pneumoniae,Illumina HiSeq 2000,PAIRED,2864444,ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1191884/ERR1191884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1191884/ERR1191884_2.fastq.gz;,
SAMEA5534369,ERR3247285,4577,Zea mays,Illumina HiSeq 2000,PAIRED,4000000,ftp.sra.ebi.ac.uk/vol1/fastq/ERR324/005/ERR3247285/ERR3247285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR324/005/ERR3247285/ERR3247285_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR324/005/ERR3247285
SAMEA4061233,ERR1789853,562,Escherichia coli,HiSeq X Ten,PAIRED,2280042,ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/003/ERR1789853/ERR1789853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/003/ERR1789853/ERR1789853_2.fastq.gz;,
SAMN03197746,SRR1655978,95486,Burkholderia cenocepacia,Illumina HiSeq 2000,PAIRED,1088745,ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1655978/SRR1655978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1655978/SRR1655978_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR165/008/SRR1655978
SAMEA2383948,ERR540152,1280,Staphylococcus aureus,Illumina HiSeq 2000,PAIRED,4349858,ftp.sra.ebi.ac.uk/vol1/fastq/ERR540/ERR540152/ERR540152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR540/ERR540152/ERR540152_2.fastq.gz;,
SAMN09604665,SRR7473114,28901,Salmonella enterica,Illumina MiSeq,PAIRED,990080,ftp.sra.ebi.ac.uk/vol1/fastq/SRR747/004/SRR7473114/SRR7473114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR747/004/SRR7473114/SRR7473114_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR747/004/SRR7473114
SAMEA3926301,ERR1603325,487,Neisseria meningitidis,Illumina HiSeq 2000,PAIRED,2366872,ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/005/ERR1603325/ERR1603325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/005/ERR1603325/ERR1603325_2.fastq.gz;,
SAMN08473250,SRR6727996,670,Vibrio parahaemolyticus,Illumina MiSeq,PAIRED,716571,ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/006/SRR6727996/SRR6727996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/006/SRR6727996/SRR6727996_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR672/006/SRR6727996
SAMN02350500,SRR972803,1397945,Salmonella enterica subsp. enterica serovar Anatum str. CFSAN003963,Illumina MiSeq,PAIRED,264552,ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/SRR972803/SRR972803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/SRR972803/SRR972803_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR972/SRR972803
SAMEA3209106,ERR925386,1313,Streptococcus pneumoniae,Illumina HiSeq 2000,PAIRED,1727606,ftp.sra.ebi.ac.uk/vol1/fastq/ERR925/ERR925386/ERR925386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR925/ERR925386/ERR925386_2.fastq.gz;,
SAMEA2656767,ERR713847,205,Campylobacter sp.,Illumina HiSeq 2000,PAIRED,3539630,ftp.sra.ebi.ac.uk/vol1/fastq/ERR713/ERR713847/ERR713847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR713/ERR713847/ERR713847_2.fastq.gz;,
SAMN09725469,SRR7617731,1765,Mycobacterium tuberculosis variant bovis,Illumina MiSeq,PAIRED,450243,ftp.sra.ebi.ac.uk/vol1/fastq/SRR761/001/SRR7617731/SRR7617731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR761/001/SRR7617731/SRR7617731_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR761/001/SRR7617731
SAMEA4005338,ERR1702619,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,20588816,ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1702619/ERR1702619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1702619/ERR1702619_2.fastq.gz;,
SAMN12731284,SRR10103883,562,Escherichia coli,Illumina MiSeq,PAIRED,481343,ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/083/SRR10103883/SRR10103883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/083/SRR10103883/SRR10103883_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR101/083/SRR10103883
SAMN09227941,SRR7187195,562,Escherichia coli,Illumina HiSeq 2500,PAIRED,3569821,ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7187195/SRR7187195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7187195/SRR7187195_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR718/005/SRR7187195
SAMEA4885948,ERR2778390,1352,Enterococcus faecium,NextSeq 500,PAIRED,1508078,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2778390/ERR2778390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2778390/ERR2778390_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR277/000/ERR2778390
SAMEA1091595,ERR3194525,4932,Saccharomyces cerevisiae,Illumina HiSeq 4000,PAIRED,190,ftp.sra.ebi.ac.uk/vol1/fastq/ERR319/005/ERR3194525/ERR3194525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR319/005/ERR3194525/ERR3194525_2.fastq.gz;,
SAMEA2783317,ERR752031,1773,Mycobacterium tuberculosis,Illumina HiSeq 2000,PAIRED,4872464,ftp.sra.ebi.ac.uk/vol1/fastq/ERR752/ERR752031/ERR752031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR752/ERR752031/ERR752031_2.fastq.gz;,
SAMN12695896,SRR10068802,10090,Mus musculus,Illumina HiSeq 2500,PAIRED,7169361,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/002/SRR10068802/SRR10068802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/002/SRR10068802/SRR10068802_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR100/002/SRR10068802
SAMN08555572,SRR6741312,1314,Streptococcus pyogenes,NextSeq 500,PAIRED,1441597,ftp.sra.ebi.ac.uk/vol1/fastq/SRR674/002/SRR6741312/SRR6741312.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR674/002/SRR6741312
SAMEA3939643,ERR1429838,54126,Pristionchus pacificus,Illumina HiSeq 2000,PAIRED,9759331,ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1429838/ERR1429838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1429838/ERR1429838_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1429838
SAMEA3734141,ERR1561571,4932,Saccharomyces cerevisiae,HiSeq X Ten,PAIRED,8169368,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/001/ERR1561571/ERR1561571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/001/ERR1561571/ERR1561571_2.fastq.gz;,
SAMEA4680012,ERR2591875,195,Campylobacter coli,Illumina MiSeq,PAIRED,338027,ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2591875/ERR2591875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2591875/ERR2591875_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR259/005/ERR2591875
SAMEA5744346,ERR3403772,3702,Arabidopsis thaliana,NextSeq 500,PAIRED,2283678,ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3403772/ERR3403772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3403772/ERR3403772_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR340/002/ERR3403772
SAMN08796386,SRR6898822,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Illumina HiSeq 2500,PAIRED,2510189,ftp.sra.ebi.ac.uk/vol1/fastq/SRR689/002/SRR6898822/SRR6898822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR689/002/SRR6898822/SRR6898822_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR689/002/SRR6898822
SAMN02845899,SRR3229339,179997,Salmonella enterica subsp. enterica serovar Havana,Illumina MiSeq,PAIRED,1335716,ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/009/SRR3229339/SRR3229339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/009/SRR3229339/SRR3229339_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR322/009/SRR3229339
